place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUM5cE5MNVRnEAE,1,"As much as the DJ set was good, they kicked out my sister for taking too long in the bathroom. They watched my friend (who is a male) cry at the bar table, but just had to kick out a women for doing what s normal. 1015 Folsom s staff need to reevaluate their security system, and recognize nuance and compassion. They were rude and dismissive, and used profane language throughout this whole exchange. This entire dismissal would have gone better if they delivered with rational and compassionate language, rather than one that s dismissive and apathetic. Drinks were too expensive too, 16 dollars for a vodka redbull was wayyyy too much.",6 months ago,2024-03-04 12:30:27.319622,,,,1,3,2,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSURkaDRuNHFRRRAB,5,"Era 1990 to 1999,  Big T,  Mars,  Simon,  JJ,  T . Saturday night Ambulance are waiting at the side of alley .  for overdose and fight This era fight is enjoyable big invent Lots of fights are going on for overnight Candy, weeds, etc Before sunrise, 1015   > Endup.",6 months ago,2024-03-04 12:30:27.327845,,,,1,2,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUNkdTdmSjh3RRAB,4,They have 3 levels. The ground level was the most of boring of all but a good way to get quick drinks. The main level had kshmr dj which was amazing. Spacious and can accommodate good number of people. Top floor s bouncers were little weird they weren t letting us go downstairs for sometime. But overall a good club and good space.,6 months ago,2024-03-04 12:30:27.334082,,,,0,58,87,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUNkMF9LekZnEAE,5,,6 months ago,2024-03-04 12:30:27.341755,,,,0,9,11,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUNkNFBlaTVRRRAB,4,"Well, all the previous reviews about power-trippy security peeps are true and confirmed,  but, if you just shut your mouth, nod pleasantly,  and dont have any drinks in line, youll be fine.   One little comment will get you booted. Note that any event times published are just door open times, not performance start time. Be prepared for massive fog machine activity (where you can taste it) during opening acts... it settles as the night goes by. Decent tix price",6 months ago,2024-03-04 12:30:27.907217,,,,0,79,23,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUR0eE51NDZ3RRAB,4,Entrance fee $30 Always same price A lot of space and different levels different options security so nice they helping a lot Food : 3/5,7 months ago,2024-02-04 12:30:27.913912,,,,0,19,3,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUN0djRmYmRREAE,5,First time at this Venue and it was pretty freaking awesome. Had a blast dancing to Shiba San....,7 months ago,2024-02-04 12:30:27.921373,,,,0,8,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUROM1pxVzB3RRAB,5,,7 months ago,2024-02-04 12:30:27.928535,,,,0,23,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSUROektua1NnEAE,1,"Did not let us in the venue even though we had tickets to see Boombox cartel. They scanned our tickets and we were waiting in line to enter the venue, until one of the short Hispanic security ladies pulled us out of the line because we were intoxicated even though everyone in our group was fine. We just had Asian glow - we suspect that may be the reason. But even with trying to reason with her she just smiled and said I have the right to refuse service to anyone. Possibly racially motivated. Do not recommend coming here, since even if you have a ticket they wont let you in.",7 months ago,2024-02-04 12:30:27.933659,,,,3,6,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUMxMlotMDV3RRAB,1,We showed up for a show for which we bought tickets but we witnessed the venue threw out people randomly for no apparent reason.  I would not go again if this is how the management treats its patrons.,7 months ago,2024-02-04 12:30:27.940501,,,,2,1,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSUQxcnFHczl3RRAB,4,,7 months ago,2024-02-04 12:30:27.948421,,,,0,1,,False,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChdDSUhNMG9nS0VJQ0FnSURWN2V6RXRRRRAB,4,,8 months ago,2024-01-04 12:30:27.953720,,,,0,16,17,True,,
ChIJRwXhl4GAhYARKMdYXvUW1m8,1015 Folsom,ChZDSUhNMG9nS0VJQ0FnSURWbVB5WFZ3EAE,3,Club is great with great dj s but the drinks/bartenders are too expensive  $16 for Moscow mule with rude bartender really.,8 months ago,2024-01-04 12:30:27.961362,,,,1,27,26,True,,
